Date,DTWEXEMEGS
2007-05-15,96.1098
2007-05-14,96.1162
2007-05-11,96.2348
2007-05-10,96.2937
2007-05-09,96.2607
2007-05-08,96.365
2007-05-07,96.3698
2007-05-04,96.5595
2007-05-03,96.6786
2007-05-02,96.8362
2007-05-01,96.8746
2007-04-30,96.8521
2007-04-27,96.7951
2007-04-26,96.7928
2007-04-25,96.7263
2007-04-24,97.0567
2007-04-23,96.9816
2007-04-20,96.9896
2007-04-19,97.0962
2007-04-18,97.0946
2007-04-17,97.1268
2007-04-16,97.1324
2007-04-13,97.154
2007-04-12,97.2938
2007-04-11,97.2911
2007-04-10,97.3963
2007-04-09,97.2456
2007-04-06,97.2764
2007-04-05,97.3022
2007-04-04,97.3994
2007-04-03,97.4321
2007-04-02,97.6025
2007-03-30,97.6325
2007-03-29,97.684
2007-03-28,97.7518
2007-03-27,97.6484
2007-03-26,97.6589
2007-03-23,97.6137
2007-03-22,97.5501
2007-03-21,97.7879
2007-03-20,98.0214
2007-03-19,98.2414
2007-03-16,98.2637
2007-03-15,98.3119
2007-03-14,98.4219
2007-03-13,98.2998
2007-03-12,98.2988
2007-03-09,98.2124
2007-03-08,98.3235
2007-03-07,98.3761
2007-03-06,98.3878
2007-03-05,98.5792
2007-03-02,98.4797
2007-03-01,98.4774
2007-02-28,98.4152
2007-02-27,98.3303
2007-02-26,98.0857
2007-02-23,97.9786
2007-02-22,97.8697
2007-02-21,97.889
2007-02-20,97.8798
2007-02-19,97.8324
2007-02-16,97.8542
2007-02-15,97.8072
2007-02-14,97.836
2007-02-13,98.1168
2007-02-12,98.1418
2007-02-09,97.8853
2007-02-08,97.9789
2007-02-07,97.8915
2007-02-06,97.8759
2007-02-05,97.9806
2007-02-02,98.1837
2007-02-01,98.1654
2007-01-31,98.4165
2007-01-30,98.4919
2007-01-29,98.5558
2007-01-26,98.3819
2007-01-25,98.1975
2007-01-24,98.1675
2007-01-23,98.2637
2007-01-22,98.1471
2007-01-19,98.0354
2007-01-18,98.1092
2007-01-17,98.1395
2007-01-16,98.4107
2007-01-15,98.459
2007-01-12,98.461
2007-01-11,98.4398
2007-01-10,98.6234
2007-01-09,98.5622
2007-01-08,98.4444
2007-01-05,98.3432
2007-01-04,98.083
2007-01-03,97.7035
2007-01-02,
2007-01-01,97.9053
2006-12-29,97.9028
2006-12-28,98.068
2006-12-27,98.212
2006-12-26,98.208
2006-12-25,98.1626
2006-12-22,98.1375
2006-12-21,98.135
2006-12-20,98.0285
2006-12-19,98.2508
2006-12-18,98.0756
2006-12-15,97.8765
2006-12-14,97.8747
2006-12-13,98.0114
2006-12-12,98.0752
2006-12-11,98.1308
2006-12-08,98.0478
2006-12-07,97.9886
2006-12-06,98.0325
2006-12-05,98.1753
2006-12-04,98.5191
2006-12-01,98.5994
2006-11-30,98.6817
2006-11-29,98.8181
2006-11-28,99.0368
2006-11-27,99.0955
2006-11-24,99.0448
2006-11-23,99.0446
2006-11-22,99.0449
2006-11-21,99.1641
2006-11-20,99.0839
2006-11-17,99.1447
2006-11-16,98.7984
2006-11-15,98.8785
2006-11-14,98.7936
2006-11-13,98.9148
2006-11-10,98.8169
2006-11-09,98.756
2006-11-08,98.7823
2006-11-07,98.6837
2006-11-06,98.8346
2006-11-03,98.6935
2006-11-02,98.8016
2006-11-01,98.6035
2006-10-31,98.7145
2006-10-30,98.721
2006-10-27,98.6728
2006-10-26,98.8521
2006-10-25,99.1293
2006-10-24,99.2394
2006-10-23,99.3079
2006-10-20,99.2257
2006-10-19,99.1728
2006-10-18,99.22
2006-10-17,99.338
2006-10-16,99.3331
2006-10-13,99.3822
2006-10-12,99.6894
2006-10-11,99.9088
2006-10-10,99.9802
2006-10-09,99.8962
2006-10-06,99.8769
2006-10-05,99.779
2006-10-04,99.9047
2006-10-03,99.851
2006-10-02,99.6996
2006-09-29,99.7441
2006-09-28,99.8599
2006-09-27,99.7919
2006-09-26,99.9565
2006-09-25,100.183
2006-09-22,100.0568
2006-09-21,99.7766
2006-09-20,99.7501
2006-09-19,99.7803
2006-09-18,99.7558
2006-09-15,99.8021
2006-09-14,99.9281
2006-09-13,100.0043
2006-09-12,100.1271
2006-09-11,100.239
2006-09-08,99.9731
2006-09-07,99.9099
2006-09-06,99.7172
2006-09-05,99.4136
2006-09-04,99.7164
2006-09-01,99.7405
2006-08-31,99.8264
2006-08-30,99.7472
2006-08-29,99.8641
2006-08-28,100.035
2006-08-25,100.1198
2006-08-24,99.9651
2006-08-23,99.6355
2006-08-22,99.4858
2006-08-21,99.474
2006-08-18,99.6214
2006-08-17,99.3616
2006-08-16,99.4556
2006-08-15,99.7737
2006-08-14,99.7472
2006-08-11,99.6657
2006-08-10,99.786
2006-08-09,99.6894
2006-08-08,99.9729
2006-08-07,99.8841
2006-08-04,99.9851
2006-08-03,100.2694
2006-08-02,100.1724
2006-08-01,100.2889
2006-07-31,99.939
2006-07-28,99.9577
2006-07-27,99.9503
2006-07-26,100.2549
2006-07-25,100.2067
2006-07-24,100.2351
2006-07-21,100.1385
2006-07-20,100.0948
2006-07-19,100.3661
2006-07-18,100.5329
2006-07-17,100.6019
2006-07-14,100.5886
2006-07-13,100.4434
2006-07-12,100.3028
2006-07-11,100.1185
2006-07-10,99.9202
2006-07-07,100.171
2006-07-06,100.5411
2006-07-05,100.6877
2006-07-04,100.4834
2006-07-03,100.5186
2006-06-30,100.9491
2006-06-29,101.5947
2006-06-28,101.6616
2006-06-27,101.7062
2006-06-26,101.7215
2006-06-23,101.7721
2006-06-22,101.6227
2006-06-21,101.5689
2006-06-20,101.7019
2006-06-19,101.7215
2006-06-16,101.5043
2006-06-15,101.6127
2006-06-14,101.8213
2006-06-13,101.858
2006-06-12,101.5988
2006-06-09,101.5206
2006-06-08,101.7426
2006-06-07,101.2495
2006-06-06,101.2285
2006-06-05,100.8855
2006-06-02,101.2204
2006-06-01,101.1206
2006-05-31,101.1469
2006-05-30,101.1031
2006-05-29,100.726
2006-05-26,100.74
2006-05-25,101.0048
2006-05-24,101.3769
2006-05-23,100.7116
2006-05-22,101.1884
2006-05-19,100.5503
2006-05-18,100.5597
2006-05-17,100.0802
2006-05-16,99.919
2006-05-15,100.2076
2006-05-12,99.5796
2006-05-11,99.0151
2006-05-10,98.7758
2006-05-09,99.101
2006-05-08,99.0923
2006-05-05,99.306
2006-05-04,99.4231
2006-05-03,99.3563
2006-05-02,99.5777
2006-05-01,99.7445
2006-04-28,99.8708
2006-04-27,99.9848
2006-04-26,100.2516
2006-04-25,99.9974
2006-04-24,99.9308
2006-04-21,100.1627
2006-04-20,100.0615
2006-04-19,99.9691
2006-04-18,100.0775
2006-04-17,100.3593
2006-04-14,100.4692
2006-04-13,100.5398
2006-04-12,100.3808
2006-04-11,100.3236
2006-04-10,100.3339
2006-04-07,100.5029
2006-04-06,100.2834
2006-04-05,99.9956
2006-04-04,99.9411
2006-04-03,100.0934
2006-03-31,100.2465
2006-03-30,100.4592
2006-03-29,100.6095
2006-03-28,100.5828
2006-03-27,100.522
2006-03-24,100.3237
2006-03-23,100.2447
2006-03-22,100.2427
2006-03-21,100.0085
2006-03-20,99.7758
2006-03-17,99.7016
2006-03-16,99.5801
2006-03-15,99.7253
2006-03-14,99.892
2006-03-13,100.0895
2006-03-10,100.0695
2006-03-09,100.1352
2006-03-08,100.3699
2006-03-07,100.0204
2006-03-06,99.6004
2006-03-03,99.4597
2006-03-02,99.2731
2006-03-01,99.1791
2006-02-28,99.2097
2006-02-27,99.3357
2006-02-24,99.3628
2006-02-23,99.4597
2006-02-22,99.5821
2006-02-21,99.3046
2006-02-20,99.3451
2006-02-17,99.3351
2006-02-16,99.4909
2006-02-15,99.5362
2006-02-14,99.4829
2006-02-13,99.5516
2006-02-10,99.4846
2006-02-09,99.5299
2006-02-08,99.7386
2006-02-07,99.517
2006-02-06,99.3857
2006-02-03,99.6522
2006-02-02,99.653
2006-02-01,99.3884
2006-01-31,99.3163
2006-01-30,99.4179
2006-01-27,99.4336
2006-01-26,99.5745
2006-01-25,99.58
2006-01-24,99.6786
2006-01-23,99.7974
2006-01-20,99.9051
2006-01-19,100.1294
2006-01-18,100.2684
2006-01-17,100.093
2006-01-16,100.0261
2006-01-13,100.0169
2006-01-12,99.8573
2006-01-11,100.0905
2006-01-10,100.0931
2006-01-09,99.9677
2006-01-06,100.1888
2006-01-05,100.3368
2006-01-04,100.4582
2006-01-03,100.8318
2006-01-02,100.9386
